Artist	Song Title	Group / Solo Artists	Year	Ranking	Hits by Artist Since 1960	One Hit Wonder?	Uniqueness/Variety of Lyrics
Mary MacGregor	Torn Between Two Lovers	Solo	1977	10			
Andy Gibb	Shadow Dancing	Solo	1978	1			
Bee Gees	Night Fever	Group	1978	2			
Debby Boone	You Light Up My Life	Solo	1978	3			
Bee Gees	Stayin’ Alive	Group	1978	4			
Exile	Kiss You All Over	Group	1978	5			
Bee Gees	How Deep Is Your Love	Group	1978	6			
Player	Baby Come Back	Group	1978	7			
Andy Gibb	(Love Is) Thicker Than Water	Solo	1978	8			
A Taste Of Honey	Boogie Oogie Oogie	Group	1978	9			
Commodores	Three Times A Lady	Group	1978	10			
Knack	My Sharona	Group	1979	1			
Donna Summer	Bad Girls	Solo	1979	2			
Chic	Le Freak	Group	1979	3			
Rod Stewart	Da Ya Think I’m Sexy	Solo	1979	4			
Peaches and Herb	Reunited	Group	1979	5			
Gloria Gaynor	I Will Survive	Solo	1979	6			
Donna Summer	Hot Stuff	Solo	1979	7			
Village People	Y.M.C.A.	Group	1979	8			
Anita Ward	Ring My Bell	Solo	1979	9			
Robert John	Sad Eyes	Solo	1979	10			
