Artist/	Artist	Song Title	Group / Solo Artists	Year	Ranking	Hits by Artist Since 1960	One Hit Wonder?	Uniqueness/Variety of Lyrics
Kenny Nolan/	Kenny Nolan	I Like Dreamin’	Solo	1977	6			
Thelma Houston/	Thelma Houston	Don’t Leave Me This Way	Solo	1977	7			
Rita Coolidge/	Rita Coolidge	(Your Love Has Lifted Me) Higher And Higher	Solo	1977	8			
Alan O’Day/	Alan O’Day	Undercover Angel	Solo	1977	9			
Mary MacGregor/	Mary MacGregor	Torn Between Two Lovers	Solo	1977	10			
Andy Gibb/	Andy Gibb	Shadow Dancing	Solo	1978	1			
Bee Gees/	Bee Gees	Night Fever	Group	1978	2			
Debby Boone/	Debby Boone	You Light Up My Life	Solo	1978	3			
Bee Gees/	Bee Gees	Stayin’ Alive	Group	1978	4			
Exile/	Exile	Kiss You All Over	Group	1978	5			
Bee Gees/	Bee Gees	How Deep Is Your Love	Group	1978	6			
Player/	Player	Baby Come Back	Group	1978	7			
Andy Gibb/	Andy Gibb	(Love Is) Thicker Than Water	Solo	1978	8			
A Taste Of Honey/	A Taste Of Honey	Boogie Oogie Oogie	Group	1978	9			
Commodores/	Commodores	Three Times A Lady	Group	1978	10			
Knack/	Knack	My Sharona	Group	1979	1			
Donna Summer/	Donna Summer	Bad Girls	Solo	1979	2			
Chic/	Chic	Le Freak	Group	1979	3			
Rod Stewart/	Rod Stewart	Da Ya Think I’m Sexy	Solo	1979	4			
Peaches and Herb/	Peaches and Herb	Reunited	Group	1979	5			
Gloria Gaynor/	Gloria Gaynor	I Will Survive	Solo	1979	6			
Donna Summer/	Donna Summer	Hot Stuff	Solo	1979	7			
Village People/	Village People	Y.M.C.A.	Group	1979	8			
Anita Ward/	Anita Ward	Ring My Bell	Solo	1979	9			
Robert John/	Robert John	Sad Eyes	Solo	1979	10			
